timestamp	load_kw	tariff_known
2026-01-01	122.00	0.45
2026-01-02	127.79	0.45
2026-01-03	133.50	0.45
2026-01-04	137.08	0.45
2026-01-05	140.46	0.45
2026-01-06	121.57	0.32
2026-01-07	118.39	0.32
2026-01-08	130.87	0.45
2026-01-09	135.00	0.45
2026-01-10	138.76	0.45
2026-01-11	140.18	0.45
2026-01-12	141.28	0.45
2026-01-13	120.08	0.32
2026-01-14	114.64	0.32
2026-01-15	125.01	0.45
2026-01-16	127.27	0.45
2026-01-17	129.47	0.45
2026-01-18	135.70	0.58
2026-01-19	136.02	0.58
2026-01-20	108.49	0.32
2026-01-21	103.19	0.32
2026-01-22	120.16	0.58
2026-01-23	123.44	0.58
2026-01-24	121.06	0.45
2026-01-25	123.03	0.45
2026-01-26	125.37	0.45
2026-01-27	106.05	0.32
2026-01-28	103.05	0.32
2026-01-29	116.32	0.45
2026-01-30	121.82	0.45
2026-01-31	127.49	0.45
2026-02-01	131.25	0.45
2026-02-02	135.05	0.45
2026-02-03	116.80	0.32
2026-02-04	114.45	0.32
2026-02-05	127.91	0.45
2026-02-06	133.14	0.45
2026-02-07	138.09	0.45
2026-02-08	140.71	0.45
2026-02-09	142.99	0.45
2026-02-10	122.90	0.32
2026-02-11	118.47	0.32
2026-02-12	129.69	0.45
2026-02-13	132.61	0.45
2026-02-14	135.26	0.45
2026-02-15	135.71	0.45
2026-02-16	136.01	0.45
2026-02-17	114.22	0.32
2026-02-18	108.43	0.32
2026-02-19	124.70	0.58
2026-02-20	127.10	0.58
2026-02-21	129.70	0.58
2026-02-22	130.55	0.58
2026-02-23	125.70	0.45
2026-02-24	105.17	0.32
2026-02-25	101.00	0.32
2026-02-26	113.19	0.45
2026-02-27	117.73	0.45
2026-02-28	122.59	0.45
2026-03-01	125.76	0.45
2026-03-02	129.17	0.45
2026-03-03	110.78	0.32
2026-03-04	108.51	0.32
2026-03-05	122.30	0.45
2026-03-06	128.08	0.45
2026-03-07	133.78	0.45
2026-03-08	137.33	0.45
2026-03-09	140.66	0.45
2026-03-10	121.73	0.32
2026-03-11	118.49	0.32
