date,croissant_units,bun_units,cake_units,promotion_planned,public_holiday,weather_forecast_c
2026-01-01,45,77,13,0,0,29.7
2026-01-02,48,80,13,0,0,29.9
2026-01-03,50,81,15,0,0,30.1
2026-01-04,54,83,16,0,0,30.1
2026-01-05,57,85,17,0,0,30.2
2026-01-06,70,100,24,0,0,30.2
2026-01-07,66,94,22,0,0,30.1
2026-01-08,48,75,14,0,0,30.1
2026-01-09,50,77,14,0,0,30.1
2026-01-10,59,87,18,1,0,30.2
2026-01-11,62,89,19,1,0,30.3
2026-01-12,57,81,17,0,0,30.5
2026-01-13,69,95,23,0,0,30.6
2026-01-14,65,90,21,0,0,30.8
2026-01-15,46,70,12,0,0,31.0
2026-01-16,47,73,12,0,0,31.2
2026-01-17,52,77,15,0,1,31.3
2026-01-18,51,75,14,0,0,31.4
2026-01-19,54,78,15,0,0,31.3
2026-01-20,65,93,22,0,0,31.2
2026-01-21,61,88,20,0,0,30.9
2026-01-22,42,69,12,0,0,30.6
2026-01-23,44,73,12,0,0,30.1
2026-01-24,46,74,13,0,0,29.7
2026-01-25,49,76,15,0,0,29.2
2026-01-26,52,80,16,0,0,28.7
2026-01-27,64,96,23,0,0,28.3
2026-01-28,61,91,22,0,0,27.9
2026-01-29,43,73,14,0,0,27.6
2026-01-30,46,76,14,0,0,27.3
2026-01-31,48,78,15,0,0,27.2
2026-02-01,59,91,19,1,0,27.2
2026-02-02,62,94,20,1,0,27.2
2026-02-03,68,100,24,0,0,27.3
2026-02-04,64,95,22,0,0,27.4
2026-02-05,47,77,14,0,0,27.5
2026-02-06,49,80,14,0,0,27.5
2026-02-07,52,81,14,0,0,27.6
2026-02-08,55,83,15,0,0,27.6
2026-02-09,58,86,16,0,0,27.6
2026-02-10,70,101,22,0,0,27.5
2026-02-11,66,95,20,0,0,27.4
2026-02-12,48,76,12,0,0,27.3
2026-02-13,49,79,12,0,0,27.2
2026-02-14,51,79,13,0,0,27.2
2026-02-15,56,84,16,0,1,27.2
2026-02-16,56,83,15,0,0,27.3
2026-02-17,67,97,22,0,0,27.5
2026-02-18,62,91,20,0,0,27.7
2026-02-19,44,72,13,0,0,28.1
2026-02-20,45,74,13,0,0,28.5
2026-02-21,47,75,14,0,0,29.0
2026-02-22,50,76,16,0,0,29.5
2026-02-23,52,79,17,0,0,30.0
2026-02-24,64,93,24,0,0,30.4
2026-02-25,60,88,22,0,0,30.8
2026-02-26,42,69,14,0,0,31.1
2026-02-27,44,72,14,0,0,31.3
2026-02-28,47,73,15,0,0,31.3
2026-03-01,50,75,16,0,0,31.3
2026-03-02,60,89,20,1,0,31.3
2026-03-03,73,104,27,1,0,31.1
2026-03-04,63,90,21,0,0,30.9
2026-03-05,45,71,13,0,0,30.7
2026-03-06,48,75,13,0,0,30.5
2026-03-07,50,76,13,0,0,30.4
2026-03-08,54,79,14,0,0,30.2
2026-03-09,57,83,15,0,0,30.2
2026-03-10,70,98,22,0,0,30.1
2026-03-11,66,94,20,0,0,30.1
2026-03-12,48,75,12,0,0,30.2
2026-03-13,50,79,12,0,0,30.2
2026-03-14,52,80,13,0,0,30.2
2026-03-15,55,83,14,0,0,30.1
2026-03-16,57,86,15,0,0,30.0
2026-03-17,69,101,23,0,0,29.8
2026-03-18,64,96,21,0,0,29.5
2026-03-19,46,77,14,0,0,29.2
2026-03-20,47,80,14,0,0,28.8
2026-03-21,49,80,15,0,0,28.3
2026-03-22,51,82,16,0,0,27.9
2026-03-23,54,84,17,0,0,27.4
2026-03-24,65,99,24,0,0,27.0
2026-03-25,61,93,22,0,0,26.7
